Number;Desc;type
411;Fussgaenger- und Radfahrerbrueck;Strasse
412;Strassenverkehrsbruecken;Strasse
413;Eisenbahnbruecken;Bahnen
431;Stuetzmauern;Strasse
441;Lawinenverbauungen;Strasse
451;Tagbautunnels;Strasse
452;Galerien;Strasse
461;Wildbachverbauung;Uebrige Infrastruktur
462;Ufer- und Sohlensicherungen;Uebrige Infrastruktur
463;Fischteiche;Uebrige Infrastruktur
464;Flussregulierungen;Uebrige Infrastruktur
481;Schleusenanlagen;Uebriger Verkehr
482;Wehranlagen;Uebriger Verkehr
483;Einlaufbauwerke;Uebriger Verkehr
485;Uferbefestigungen;Uebrige Infrastruktur
511;Mechanische Abwasserreinigungs;Uebrige Infrastruktur
512;Biologische und chemische Abwa;Uebrige Infrastruktur
521;Regenrueckhaltebecken;Uebrige Infrastruktur
522;Hochwasserrueckhaltebecken;Uebrige Infrastruktur
611;Sessellifte und Gondolbahnen;Uebriger Verkehr
612;Zahnradbahnen;Uebriger Verkehr
613;Standseilbahnen;Uebriger Verkehr
614;Luftseilbahnen;Uebriger Verkehr
621;Richtstrahlanlagen;Kommunikation
631;Antennanlagen;Kommunikation
641;Windkraftanlagen;Uebrige Infrastruktur
651;Hochspannungs-Trafostationen;Uebrige Infrastruktur
652;Unterwerke;Uebrige Infrastruktur
661;Silos;Landwirtschaft
711;Strassentunnel;Strasse
722;Druckstollen;Uebrige Infrastruktur
741;Vertikale Schaechte;Uebrige Infrastruktur
