ObjektNr;BaustKanton;Kurzbeschreibung;BauartCode;Baubeginn;Bauende;GesuchVom;BewilligtAm;BaukostenVon;BaukostenBis;AnzGeb;AnzWhg;AnzEtagen;AnzUG;AnzPP;CRBCode01;CRBCode02;CRBCode03;CRBCode04;CRBCode05;CRBCode06;CRBCode07;CRBCode08;CRBCode09;CRBCode10
99912914;BE;Neubau Maschinenunterstand und Erweiterung Oekonomieteil                ;1;Mrz 07; ;18.10.2006;08.01.2007;0.2;0.2;2;0;2;0;0;41;43;;;;;;;;
99915028;BE;Neubau/Wiederaufbau eines Zweifamilienhauses;1; ; ;02.11.2006;07.01.2007;0.68;0.68;1;2;0;1;0;14;;;;;;;;;
99915027;BE;Abbruch eines Zweifamilienhauses;5; ; ;02.11.2006;07.01.2007;0.03;0.03;1;2;0;0;0;14;;;;;;;;;
99915025;BE;Neubau eines Maschinenweges         ;1; ; ;01.11.2006;04.01.2007;0.01;0.01;0;0;0;0;0;242;;;;;;;;;
99928537;BE;Neubau eines Einfamilienhauses         ;1; ; ;31.01.2007; ;0.6;0.6;1;1;2;1;0;14;;;;;;;;;
99928536;BE;Neubau eines Einfamilienhauses mit Autounterstand                       ;1; ; ;31.01.2007; ;0.5;0.5;1;1;2;0;0;14;174;;;;;;;;
99928535;BE;Abbruch eines Bauernhauses         ;5; ; ;31.01.2007; ;0.03;0.03;1;0;0;0;0;14;;;;;;;;;
99928533;BE;Teilabbruch eines Mehrfamilienhauses         ;5; ; ;31.01.2007; ;0.03;0.03;1;0;2;0;0;12;;;;;;;;;
99928532;BE;Neubau/Wiederaufbau Wohnung                               ;2; ; ;31.01.2007; ;0.35;0.35;1;1;2;0;0;14;;;;;;;;;
99893906;BE;Neubau eines Zweifamilienhauses mit Garage;1;Apr 07;Nov 07;06.07.2006;30.01.2007;1.3;1.3;1;2;2;1;0;14;139;;;;;;;;
99927345;BE;Wiederaufbau/Erweiterung Einfamilienhaus                                ;2; ; ;25.01.2007; ;0.3;0.3;1;1;2;0;0;14;;;;;;;;;
99927344;BE;Teilabbruch eines Einfamilienhauses         ;5; ; ;25.01.2007; ;0.03;0.03;1;1;2;0;0;14;;;;;;;;;
99927343;BE;Erweiterung Reservoir für Ultrafilteranlage         ;2; ; ;25.01.2007; ;0.2;0.2;0;0;0;1;0;52;;;;;;;;;
99908142;BE;Neuerschliessung Zufahrt, Neubau Damm, Verlegung Ufer              ;1;Mrz 07; ; ;18.01.2007;19;19;0;0;0;0;0;211;353;412;;;;;;;
99912042;BE;Umbau eines Bauernhauses         ;3;Apr 07;Jul 07;19.10.2006;10.01.2007;0.086;0.086;1;2;2;0;0;14;;;;;;;;;
99909671;BE;Neubau Strasse mit Werkleitungen, Stützmauer, Parkplätze                ;1;Mrz 07; ;03.10.2006;18.01.2007;0.7;0.7;0;0;0;0;18;175;211;311;321;323;431;;;;
99892332;BE;Neubau Einfamilienhaus mit Studio und Autounterstand           ;1; ; ;26.06.2006;29.01.2007;0.85;0.85;1;2;2;1;0;14;174;;;;;;;;
99927093;BE;Erweiterung einer Antennenanlage         ;2; ; ;22.01.2007; ;0.07;0.07;0;0;0;0;0;631;;;;;;;;;
99927342;BE;Erweiterung einer Antennenanlage         ;2; ; ;24.01.2007; ;0.07;0.07;0;0;0;0;0;631;;;;;;;;;
99927341;BE;Neubau einer Scheune mit Jauchegrube         ;1; ; ;25.01.2007; ;0.4;0.4;1;0;0;0;0;43;48;;;;;;;;
99927340;BE;Abbruch einer Scheune         ;5; ; ;25.01.2007; ;0.03;0.03;1;0;0;0;0;43;;;;;;;;;
99927339;BE;Neubau/Wiederaufbau eines Rindviehlaufstalles                    ;1; ; ;25.01.2007; ;0.48;0.48;1;0;2;0;0;43;;;;;;;;;
99926180;BE;Einbau eines Dachflächenfensters;3; ; ;18.01.2007; ;0.03;0.03;1;0;0;0;0;14;;;;;;;;;
99926179;BE;Erweiterung einer Antennenanlage         ;2; ; ;18.01.2007; ;0.07;0.07;0;0;0;0;0;631;;;;;;;;;
99926176;BE;Neubau eines Freilaufstalles         ;1; ; ;18.01.2007; ;0.2;0.2;1;0;2;0;0;43;;;;;;;;;
99926175;BE;Abbruch einer Scheune         ;5; ; ;18.01.2007; ;0.03;0.03;1;0;0;0;0;41;;;;;;;;;
99917307;BE;Anbau eines Hochregales;2;Feb 07;Mai 07;16.11.2006;09.01.2007;0.25;0.25;1;0;0;0;0;31;;;;;;;;;
99925489;BE;Neubau eines Einfamilienhauses mit Studio und integrierter Garage;1; ; ;16.01.2007; ;1.1;1.1;1;2;1;1;0;14;;;;;;;;;
99925487;BE;Neubau Einstell- und Lagerhalle mit Wohnungen, Ateliers und Büros;1; ; ;17.01.2007; ;1.5;1.5;1;2;2;0;0;14;31;64;;;;;;;
99924299;BE;Neubau eines Mehrfamilienhauses mit Garage;1; ; ;11.01.2007; ;2;2;1;3;0;1;0;12;131;;;;;;;;
99924133;BE;Neubau/Wiederaufbau eines Hallenbades                                   ;1; ; ;09.01.2007; ;5.6;5.6;1;0;1;1;0;122;123;;;;;;;;
99924132;BE;Neubau MFH mit Einstellhalle                                            ;1; ; ;08.01.2007; ;1.8;1.8;1;0;4;3;1;12;;;;;;;;;
99924136;BE;Abbruch eines Mehrfamilienhauses;5; ; ;10.01.2007; ;0.04;0.04;1;0;0;0;0;12;;;;;;;;;
99924135;BE;Neubau zwei Einfamilienhäuser mit Wursterei und Zimmerei, Anbau Garage  ;1; ; ;10.01.2007; ;1.2;1.2;2;2;2;1;0;14;38;139;;;;;;;
99919755;BE;Neubau Einnehmerei, Kiosk und Wartebereich                              ;1; ; ;07.12.2006;31.01.2007;0.4;0.4;1;0;1;0;8;61;175;178;;;;;;;
99918649;BE;Neubau eines Einfamilienhauses mit Autounterstand;1;Mrz 07;Sep 07;28.11.2006;25.01.2007;0.6;0.6;1;1;2;1;0;14;174;;;;;;;;
99918646;BE;Anbau Pergola bei Restaurant;2;Apr 07;Mai 07;29.11.2006;29.01.2007;0.1;0.1;1;0;1;0;0;;;;;;;;;;
